parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate
k_90	k_90	lin	1e-06	100.0	1.0	1
k_91	k_91	lin	1e-06	100.0	1.0	1
k_92	k_92	lin	1e-06	100.0	1.0	1
k_93	k_93	lin	1e-06	100.0	1.0	1
k_94	k_94	lin	1e-06	100.0	1.0	1
k_95	k_95	lin	1e-06	100.0	1.0	1
k_96	k_96	lin	1e-06	100.0	1.0	1
k_97	k_97	lin	1e-06	100.0	1.0	1
k_98	k_98	lin	1e-06	100.0	1.0	1
k_99	k_99	lin	1e-06	100.0	1.0	1
k_100	k_100	lin	1e-06	100.0	1.0	1
k_101	k_101	lin	1e-06	100.0	1.0	1
k_102	k_102	lin	1e-06	100.0	1.0	1
k_103	k_103	lin	1e-06	100.0	1.0	1
k_104	k_104	lin	1e-06	100.0	1.0	1
k_105	k_105	lin	1e-06	100.0	1.0	1
k_106	k_106	lin	1e-06	100.0	1.0	1
k_107	k_107	lin	1e-06	100.0	1.0	1
k_108	k_108	lin	1e-06	100.0	1.0	1
k_109	k_109	lin	1e-06	100.0	1.0	1
k_110	k_110	lin	1e-06	100.0	1.0	1
k_111	k_111	lin	1e-06	100.0	1.0	1
k_112	k_112	lin	1e-06	100.0	1.0	1
k_113	k_113	lin	1e-06	100.0	1.0	1
k_114	k_114	lin	1e-06	100.0	1.0	1
k_115	k_115	lin	1e-06	100.0	1.0	1
k_116	k_116	lin	1e-06	100.0	1.0	1
k_117	k_117	lin	1e-06	100.0	1.0	1
k_118	k_118	lin	1e-06	100.0	1.0	1
k_119	k_119	lin	1e-06	100.0	1.0	1
k_120	k_120	lin	1e-06	100.0	1.0	1
k_121	k_121	lin	1e-06	100.0	1.0	1
k_122	k_122	lin	1e-06	100.0	1.0	1
k_123	k_123	lin	1e-06	100.0	1.0	1
k_124	k_124	lin	1e-06	100.0	1.0	1
k_125	k_125	lin	1e-06	100.0	1.0	1
k_126	k_126	lin	1e-06	100.0	1.0	1
k_127	k_127	lin	1e-06	100.0	1.0	1
k_128	k_128	lin	1e-06	100.0	1.0	1
k_129	k_129	lin	1e-06	100.0	1.0	1
k_130	k_130	lin	1e-06	100.0	1.0	1
k_131	k_131	lin	1e-06	100.0	1.0	1
k_132	k_132	lin	1e-06	100.0	1.0	1
k_133	k_133	lin	1e-06	100.0	1.0	1
k_134	k_134	lin	1e-06	100.0	1.0	1
k_135	k_135	lin	1e-06	100.0	1.0	1
k_136	k_136	lin	1e-06	100.0	1.0	1
k_137	k_137	lin	1e-06	100.0	1.0	1
k_138	k_138	lin	1e-06	100.0	1.0	1
k_139	k_139	lin	1e-06	100.0	1.0	1
k_140	k_140	lin	1e-06	100.0	1.0	1
k_141	k_141	lin	1e-06	100.0	1.0	1
k_142	k_142	lin	1e-06	100.0	1.0	1
k_143	k_143	lin	1e-06	100.0	1.0	1
k_144	k_144	lin	1e-06	100.0	1.0	1
k_145	k_145	lin	1e-06	100.0	1.0	1
k_146	k_146	lin	1e-06	100.0	1.0	1
k_147	k_147	lin	1e-06	100.0	1.0	1
k_148	k_148	lin	1e-06	100.0	1.0	1
k_149	k_149	lin	1e-06	100.0	1.0	1
k_150	k_150	lin	1e-06	100.0	1.0	1
k_151	k_151	lin	1e-06	100.0	1.0	1
k_152	k_152	lin	1e-06	100.0	1.0	1
k_153	k_153	lin	1e-06	100.0	1.0	1
k_154	k_154	lin	1e-06	100.0	1.0	1
k_155	k_155	lin	1e-06	100.0	1.0	1
k_156	k_156	lin	1e-06	100.0	1.0	1
k_157	k_157	lin	1e-06	100.0	1.0	1
k_158	k_158	lin	1e-06	100.0	1.0	1
k_159	k_159	lin	1e-06	100.0	1.0	1
k_160	k_160	lin	1e-06	100.0	1.0	1
k_161	k_161	lin	1e-06	100.0	1.0	1
k_162	k_162	lin	1e-06	100.0	1.0	1
k_163	k_163	lin	1e-06	100.0	1.0	1
k_164	k_164	lin	1e-06	100.0	1.0	1
k_165	k_165	lin	1e-06	100.0	1.0	1
k_166	k_166	lin	1e-06	100.0	1.0	1
k_167	k_167	lin	1e-06	100.0	1.0	1
k_168	k_168	lin	1e-06	100.0	1.0	1
k_169	k_169	lin	1e-06	100.0	1.0	1
k_170	k_170	lin	1e-06	100.0	1.0	1
k_171	k_171	lin	1e-06	100.0	1.0	1
k_172	k_172	lin	1e-06	100.0	1.0	1
k_173	k_173	lin	1e-06	100.0	1.0	1
k_174	k_174	lin	1e-06	100.0	1.0	1
k_175	k_175	lin	1e-06	100.0	1.0	1
k_176	k_176	lin	1e-06	100.0	1.0	1
k_177	k_177	lin	1e-06	100.0	1.0	1
k_178	k_178	lin	1e-06	100.0	1.0	1
k_179	k_179	lin	1e-06	100.0	1.0	1
k_180	k_180	lin	1e-06	100.0	1.0	1
k_181	k_181	lin	1e-06	100.0	1.0	1
k_182	k_182	lin	1e-06	100.0	1.0	1
k_183	k_183	lin	1e-06	100.0	1.0	1
k_184	k_184	lin	1e-06	100.0	1.0	1
k_185	k_185	lin	1e-06	100.0	1.0	1
k_186	k_186	lin	1e-06	100.0	1.0	1
k_187	k_187	lin	1e-06	100.0	1.0	1
k_188	k_188	lin	1e-06	100.0	1.0	1
k_189	k_189	lin	1e-06	100.0	1.0	1
k_190	k_190	lin	1e-06	100.0	1.0	1
k_191	k_191	lin	1e-06	100.0	1.0	1
k_192	k_192	lin	1e-06	100.0	1.0	1
k_193	k_193	lin	1e-06	100.0	1.0	1
k_194	k_194	lin	1e-06	100.0	1.0	1
k_195	k_195	lin	1e-06	100.0	1.0	1
k_196	k_196	lin	1e-06	100.0	1.0	1
k_197	k_197	lin	1e-06	100.0	1.0	1
k_198	k_198	lin	1e-06	100.0	1.0	1
k_199	k_199	lin	1e-06	100.0	1.0	1
k_200	k_200	lin	1e-06	100.0	1.0	1
delta_1	delta_1	lin	1e-06	100.0	1.0	1
delta_2	delta_2	lin	1e-06	100.0	1.0	1
delta_3	delta_3	lin	1e-06	100.0	1.0	1
delta_4	delta_4	lin	1e-06	100.0	1.0	1
delta_5	delta_5	lin	1e-06	100.0	1.0	1
delta_6	delta_6	lin	1e-06	100.0	1.0	1
delta_7	delta_7	lin	1e-06	100.0	1.0	1
delta_8	delta_8	lin	1e-06	100.0	1.0	1
delta_9	delta_9	lin	1e-06	100.0	1.0	1
delta_10	delta_10	lin	1e-06	100.0	1.0	1
delta_11	delta_11	lin	1e-06	100.0	1.0	1
delta_12	delta_12	lin	1e-06	100.0	1.0	1
delta_13	delta_13	lin	1e-06	100.0	1.0	1
delta_14	delta_14	lin	1e-06	100.0	1.0	1
delta_15	delta_15	lin	1e-06	100.0	1.0	1
delta_16	delta_16	lin	1e-06	100.0	1.0	1
delta_17	delta_17	lin	1e-06	100.0	1.0	1
delta_18	delta_18	lin	1e-06	100.0	1.0	1
delta_19	delta_19	lin	1e-06	100.0	1.0	1
delta_20	delta_20	lin	1e-06	100.0	1.0	1
delta_21	delta_21	lin	1e-06	100.0	1.0	1
delta_22	delta_22	lin	1e-06	100.0	1.0	1
delta_23	delta_23	lin	1e-06	100.0	1.0	1
delta_24	delta_24	lin	1e-06	100.0	1.0	1
delta_25	delta_25	lin	1e-06	100.0	1.0	1
delta_26	delta_26	lin	1e-06	100.0	1.0	1
delta_27	delta_27	lin	1e-06	100.0	1.0	1
delta_28	delta_28	lin	1e-06	100.0	1.0	1
delta_29	delta_29	lin	1e-06	100.0	1.0	1
delta_30	delta_30	lin	1e-06	100.0	1.0	1
delta_31	delta_31	lin	1e-06	100.0	1.0	1
delta_32	delta_32	lin	1e-06	100.0	1.0	1
delta_33	delta_33	lin	1e-06	100.0	1.0	1
delta_34	delta_34	lin	1e-06	100.0	1.0	1
delta_35	delta_35	lin	1e-06	100.0	1.0	1
delta_36	delta_36	lin	1e-06	100.0	1.0	1
delta_37	delta_37	lin	1e-06	100.0	1.0	1
delta_38	delta_38	lin	1e-06	100.0	1.0	1
delta_39	delta_39	lin	1e-06	100.0	1.0	1
delta_40	delta_40	lin	1e-06	100.0	1.0	1
delta_41	delta_41	lin	1e-06	100.0	1.0	1
delta_42	delta_42	lin	1e-06	100.0	1.0	1
delta_43	delta_43	lin	1e-06	100.0	1.0	1
delta_44	delta_44	lin	1e-06	100.0	1.0	1
delta_45	delta_45	lin	1e-06	100.0	1.0	1
delta_46	delta_46	lin	1e-06	100.0	1.0	1
delta_47	delta_47	lin	1e-06	100.0	1.0	1
delta_48	delta_48	lin	1e-06	100.0	1.0	1
delta_49	delta_49	lin	1e-06	100.0	1.0	1
delta_50	delta_50	lin	1e-06	100.0	1.0	1
delta_51	delta_51	lin	1e-06	100.0	1.0	1
delta_52	delta_52	lin	1e-06	100.0	1.0	1
delta_53	delta_53	lin	1e-06	100.0	1.0	1
delta_54	delta_54	lin	1e-06	100.0	1.0	1
delta_55	delta_55	lin	1e-06	100.0	1.0	1
delta_56	delta_56	lin	1e-06	100.0	1.0	1
delta_57	delta_57	lin	1e-06	100.0	1.0	1
delta_58	delta_58	lin	1e-06	100.0	1.0	1
delta_59	delta_59	lin	1e-06	100.0	1.0	1
delta_60	delta_60	lin	1e-06	100.0	1.0	1
delta_61	delta_61	lin	1e-06	100.0	1.0	1
delta_62	delta_62	lin	1e-06	100.0	1.0	1
delta_63	delta_63	lin	1e-06	100.0	1.0	1
delta_64	delta_64	lin	1e-06	100.0	1.0	1
delta_65	delta_65	lin	1e-06	100.0	1.0	1
delta_66	delta_66	lin	1e-06	100.0	1.0	1
delta_67	delta_67	lin	1e-06	100.0	1.0	1
delta_68	delta_68	lin	1e-06	100.0	1.0	1
delta_69	delta_69	lin	1e-06	100.0	1.0	1
delta_70	delta_70	lin	1e-06	100.0	1.0	1
delta_71	delta_71	lin	1e-06	100.0	1.0	1
delta_72	delta_72	lin	1e-06	100.0	1.0	1
delta_73	delta_73	lin	1e-06	100.0	1.0	1
delta_74	delta_74	lin	1e-06	100.0	1.0	1
delta_75	delta_75	lin	1e-06	100.0	1.0	1
delta_76	delta_76	lin	1e-06	100.0	1.0	1
delta_77	delta_77	lin	1e-06	100.0	1.0	1
delta_78	delta_78	lin	1e-06	100.0	1.0	1
delta_79	delta_79	lin	1e-06	100.0	1.0	1
delta_80	delta_80	lin	1e-06	100.0	1.0	1
delta_81	delta_81	lin	1e-06	100.0	1.0	1
delta_82	delta_82	lin	1e-06	100.0	1.0	1
delta_83	delta_83	lin	1e-06	100.0	1.0	1
delta_84	delta_84	lin	1e-06	100.0	1.0	1
delta_85	delta_85	lin	1e-06	100.0	1.0	1
delta_86	delta_86	lin	1e-06	100.0	1.0	1
delta_87	delta_87	lin	1e-06	100.0	1.0	1
delta_88	delta_88	lin	1e-06	100.0	1.0	1
delta_89	delta_89	lin	1e-06	100.0	1.0	1
delta_90	delta_90	lin	1e-06	100.0	1.0	1
delta_91	delta_91	lin	1e-06	100.0	1.0	1
delta_92	delta_92	lin	1e-06	100.0	1.0	1
delta_93	delta_93	lin	1e-06	100.0	1.0	1
delta_94	delta_94	lin	1e-06	100.0	1.0	1
delta_95	delta_95	lin	1e-06	100.0	1.0	1
delta_96	delta_96	lin	1e-06	100.0	1.0	1
delta_97	delta_97	lin	1e-06	100.0	1.0	1
delta_98	delta_98	lin	1e-06	100.0	1.0	1
delta_99	delta_99	lin	1e-06	100.0	1.0	1
delta_100	delta_100	lin	1e-06	100.0	1.0	1
delta_101	delta_101	lin	1e-06	100.0	1.0	1
delta_102	delta_102	lin	1e-06	100.0	1.0	1
delta_103	delta_103	lin	1e-06	100.0	1.0	1
delta_104	delta_104	lin	1e-06	100.0	1.0	1
delta_105	delta_105	lin	1e-06	100.0	1.0	1
delta_106	delta_106	lin	1e-06	100.0	1.0	1
delta_107	delta_107	lin	1e-06	100.0	1.0	1
delta_108	delta_108	lin	1e-06	100.0	1.0	1
delta_109	delta_109	lin	1e-06	100.0	1.0	1
delta_110	delta_110	lin	1e-06	100.0	1.0	1
delta_111	delta_111	lin	1e-06	100.0	1.0	1
delta_112	delta_112	lin	1e-06	100.0	1.0	1
delta_113	delta_113	lin	1e-06	100.0	1.0	1
delta_114	delta_114	lin	1e-06	100.0	1.0	1
delta_115	delta_115	lin	1e-06	100.0	1.0	1
delta_116	delta_116	lin	1e-06	100.0	1.0	1
delta_117	delta_117	lin	1e-06	100.0	1.0	1
delta_118	delta_118	lin	1e-06	100.0	1.0	1
delta_119	delta_119	lin	1e-06	100.0	1.0	1
delta_120	delta_120	lin	1e-06	100.0	1.0	1
delta_121	delta_121	lin	1e-06	100.0	1.0	1
delta_122	delta_122	lin	1e-06	100.0	1.0	1
delta_123	delta_123	lin	1e-06	100.0	1.0	1
delta_124	delta_124	lin	1e-06	100.0	1.0	1
delta_125	delta_125	lin	1e-06	100.0	1.0	1
delta_126	delta_126	lin	1e-06	100.0	1.0	1
delta_127	delta_127	lin	1e-06	100.0	1.0	1
delta_128	delta_128	lin	1e-06	100.0	1.0	1
delta_129	delta_129	lin	1e-06	100.0	1.0	1
delta_130	delta_130	lin	1e-06	100.0	1.0	1
delta_131	delta_131	lin	1e-06	100.0	1.0	1
delta_132	delta_132	lin	1e-06	100.0	1.0	1
delta_133	delta_133	lin	1e-06	100.0	1.0	1
delta_134	delta_134	lin	1e-06	100.0	1.0	1
delta_135	delta_135	lin	1e-06	100.0	1.0	1
delta_136	delta_136	lin	1e-06	100.0	1.0	1
delta_137	delta_137	lin	1e-06	100.0	1.0	1
delta_138	delta_138	lin	1e-06	100.0	1.0	1
delta_139	delta_139	lin	1e-06	100.0	1.0	1
delta_140	delta_140	lin	1e-06	100.0	1.0	1
delta_141	delta_141	lin	1e-06	100.0	1.0	1
delta_142	delta_142	lin	1e-06	100.0	1.0	1
delta_143	delta_143	lin	1e-06	100.0	1.0	1
delta_144	delta_144	lin	1e-06	100.0	1.0	1
delta_145	delta_145	lin	1e-06	100.0	1.0	1
delta_146	delta_146	lin	1e-06	100.0	1.0	1
delta_147	delta_147	lin	1e-06	100.0	1.0	1
delta_148	delta_148	lin	1e-06	100.0	1.0	1
delta_149	delta_149	lin	1e-06	100.0	1.0	1
delta_150	delta_150	lin	1e-06	100.0	1.0	1
delta_151	delta_151	lin	1e-06	100.0	1.0	1
delta_152	delta_152	lin	1e-06	100.0	1.0	1
delta_153	delta_153	lin	1e-06	100.0	1.0	1
delta_154	delta_154	lin	1e-06	100.0	1.0	1
delta_155	delta_155	lin	1e-06	100.0	1.0	1
delta_156	delta_156	lin	1e-06	100.0	1.0	1
delta_157	delta_157	lin	1e-06	100.0	1.0	1
delta_158	delta_158	lin	1e-06	100.0	1.0	1
delta_159	delta_159	lin	1e-06	100.0	1.0	1
delta_160	delta_160	lin	1e-06	100.0	1.0	1
delta_161	delta_161	lin	1e-06	100.0	1.0	1
delta_162	delta_162	lin	1e-06	100.0	1.0	1
delta_163	delta_163	lin	1e-06	100.0	1.0	1
delta_164	delta_164	lin	1e-06	100.0	1.0	1
delta_165	delta_165	lin	1e-06	100.0	1.0	1
delta_166	delta_166	lin	1e-06	100.0	1.0	1
delta_167	delta_167	lin	1e-06	100.0	1.0	1
delta_168	delta_168	lin	1e-06	100.0	1.0	1
delta_169	delta_169	lin	1e-06	100.0	1.0	1
delta_170	delta_170	lin	1e-06	100.0	1.0	1
delta_171	delta_171	lin	1e-06	100.0	1.0	1
delta_172	delta_172	lin	1e-06	100.0	1.0	1
delta_173	delta_173	lin	1e-06	100.0	1.0	1
delta_174	delta_174	lin	1e-06	100.0	1.0	1
delta_175	delta_175	lin	1e-06	100.0	1.0	1
delta_176	delta_176	lin	1e-06	100.0	1.0	1
delta_177	delta_177	lin	1e-06	100.0	1.0	1
delta_178	delta_178	lin	1e-06	100.0	1.0	1
delta_179	delta_179	lin	1e-06	100.0	1.0	1
delta_180	delta_180	lin	1e-06	100.0	1.0	1
delta_181	delta_181	lin	1e-06	100.0	1.0	1
delta_182	delta_182	lin	1e-06	100.0	1.0	1
delta_183	delta_183	lin	1e-06	100.0	1.0	1
delta_184	delta_184	lin	1e-06	100.0	1.0	1
delta_185	delta_185	lin	1e-06	100.0	1.0	1
delta_186	delta_186	lin	1e-06	100.0	1.0	1
delta_187	delta_187	lin	1e-06	100.0	1.0	1
delta_188	delta_188	lin	1e-06	100.0	1.0	1
delta_189	delta_189	lin	1e-06	100.0	1.0	1
delta_190	delta_190	lin	1e-06	100.0	1.0	1
delta_191	delta_191	lin	1e-06	100.0	1.0	1
delta_192	delta_192	lin	1e-06	100.0	1.0	1
delta_193	delta_193	lin	1e-06	100.0	1.0	1
delta_194	delta_194	lin	1e-06	100.0	1.0	1
delta_195	delta_195	lin	1e-06	100.0	1.0	1
delta_196	delta_196	lin	1e-06	100.0	1.0	1
delta_197	delta_197	lin	1e-06	100.0	1.0	1
delta_198	delta_198	lin	1e-06	100.0	1.0	1
delta_199	delta_199	lin	1e-06	100.0	1.0	1
delta_200	delta_200	lin	1e-06	100.0	1.0	1
alpha0_1	alpha0_1	lin	1e-06	100.0	1.0	1
alpha0_2	alpha0_2	lin	1e-06	100.0	1.0	1
alpha0_3	alpha0_3	lin	1e-06	100.0	1.0	1
alpha0_4	alpha0_4	lin	1e-06	100.0	1.0	1
alpha0_5	alpha0_5	lin	1e-06	100.0	1.0	1
alpha0_6	alpha0_6	lin	1e-06	100.0	1.0	1
alpha0_7	alpha0_7	lin	1e-06	100.0	1.0	1
alpha0_8	alpha0_8	lin	1e-06	100.0	1.0	1
alpha0_9	alpha0_9	lin	1e-06	100.0	1.0	1
alpha0_10	alpha0_10	lin	1e-06	100.0	1.0	1
alpha0_11	alpha0_11	lin	1e-06	100.0	1.0	1
alpha0_12	alpha0_12	lin	1e-06	100.0	1.0	1
alpha0_13	alpha0_13	lin	1e-06	100.0	1.0	1
alpha0_14	alpha0_14	lin	1e-06	100.0	1.0	1
alpha0_15	alpha0_15	lin	1e-06	100.0	1.0	1
alpha0_16	alpha0_16	lin	1e-06	100.0	1.0	1
alpha0_17	alpha0_17	lin	1e-06	100.0	1.0	1
alpha0_18	alpha0_18	lin	1e-06	100.0	1.0	1
alpha0_19	alpha0_19	lin	1e-06	100.0	1.0	1
alpha0_20	alpha0_20	lin	1e-06	100.0	1.0	1
alpha0_21	alpha0_21	lin	1e-06	100.0	1.0	1
alpha0_22	alpha0_22	lin	1e-06	100.0	1.0	1
alpha0_23	alpha0_23	lin	1e-06	100.0	1.0	1
alpha0_24	alpha0_24	lin	1e-06	100.0	1.0	1
alpha0_25	alpha0_25	lin	1e-06	100.0	1.0	1
alpha0_26	alpha0_26	lin	1e-06	100.0	1.0	1
alpha0_27	alpha0_27	lin	1e-06	100.0	1.0	1
alpha0_28	alpha0_28	lin	1e-06	100.0	1.0	1
alpha0_29	alpha0_29	lin	1e-06	100.0	1.0	1
alpha0_30	alpha0_30	lin	1e-06	100.0	1.0	1
alpha0_31	alpha0_31	lin	1e-06	100.0	1.0	1
alpha0_32	alpha0_32	lin	1e-06	100.0	1.0	1
alpha0_33	alpha0_33	lin	1e-06	100.0	1.0	1
alpha0_34	alpha0_34	lin	1e-06	100.0	1.0	1
alpha0_35	alpha0_35	lin	1e-06	100.0	1.0	1
alpha0_36	alpha0_36	lin	1e-06	100.0	1.0	1
alpha0_37	alpha0_37	lin	1e-06	100.0	1.0	1
alpha0_38	alpha0_38	lin	1e-06	100.0	1.0	1
alpha0_39	alpha0_39	lin	1e-06	100.0	1.0	1
alpha0_40	alpha0_40	lin	1e-06	100.0	1.0	1
alpha0_41	alpha0_41	lin	1e-06	100.0	1.0	1
alpha0_42	alpha0_42	lin	1e-06	100.0	1.0	1
alpha0_43	alpha0_43	lin	1e-06	100.0	1.0	1
alpha0_44	alpha0_44	lin	1e-06	100.0	1.0	1
alpha0_45	alpha0_45	lin	1e-06	100.0	1.0	1
alpha0_46	alpha0_46	lin	1e-06	100.0	1.0	1
alpha0_47	alpha0_47	lin	1e-06	100.0	1.0	1
alpha0_48	alpha0_48	lin	1e-06	100.0	1.0	1
alpha0_49	alpha0_49	lin	1e-06	100.0	1.0	1
alpha0_50	alpha0_50	lin	1e-06	100.0	1.0	1
alpha0_51	alpha0_51	lin	1e-06	100.0	1.0	1
alpha0_52	alpha0_52	lin	1e-06	100.0	1.0	1
alpha0_53	alpha0_53	lin	1e-06	100.0	1.0	1
alpha0_54	alpha0_54	lin	1e-06	100.0	1.0	1
alpha0_55	alpha0_55	lin	1e-06	100.0	1.0	1
alpha0_56	alpha0_56	lin	1e-06	100.0	1.0	1
alpha0_57	alpha0_57	lin	1e-06	100.0	1.0	1
alpha0_58	alpha0_58	lin	1e-06	100.0	1.0	1
alpha0_59	alpha0_59	lin	1e-06	100.0	1.0	1
alpha0_60	alpha0_60	lin	1e-06	100.0	1.0	1
alpha0_61	alpha0_61	lin	1e-06	100.0	1.0	1
alpha0_62	alpha0_62	lin	1e-06	100.0	1.0	1
alpha0_63	alpha0_63	lin	1e-06	100.0	1.0	1
alpha0_64	alpha0_64	lin	1e-06	100.0	1.0	1
alpha0_65	alpha0_65	lin	1e-06	100.0	1.0	1
alpha0_66	alpha0_66	lin	1e-06	100.0	1.0	1
alpha0_67	alpha0_67	lin	1e-06	100.0	1.0	1
alpha0_68	alpha0_68	lin	1e-06	100.0	1.0	1
alpha0_69	alpha0_69	lin	1e-06	100.0	1.0	1
alpha0_70	alpha0_70	lin	1e-06	100.0	1.0	1
alpha0_71	alpha0_71	lin	1e-06	100.0	1.0	1
alpha0_72	alpha0_72	lin	1e-06	100.0	1.0	1
alpha0_73	alpha0_73	lin	1e-06	100.0	1.0	1
alpha0_74	alpha0_74	lin	1e-06	100.0	1.0	1
alpha0_75	alpha0_75	lin	1e-06	100.0	1.0	1
alpha0_76	alpha0_76	lin	1e-06	100.0	1.0	1
alpha0_77	alpha0_77	lin	1e-06	100.0	1.0	1
alpha0_78	alpha0_78	lin	1e-06	100.0	1.0	1
alpha0_79	alpha0_79	lin	1e-06	100.0	1.0	1
alpha0_80	alpha0_80	lin	1e-06	100.0	1.0	1
alpha0_81	alpha0_81	lin	1e-06	100.0	1.0	1
alpha0_82	alpha0_82	lin	1e-06	100.0	1.0	1
alpha0_83	alpha0_83	lin	1e-06	100.0	1.0	1
alpha0_84	alpha0_84	lin	1e-06	100.0	1.0	1
alpha0_85	alpha0_85	lin	1e-06	100.0	1.0	1
alpha0_86	alpha0_86	lin	1e-06	100.0	1.0	1
alpha0_87	alpha0_87	lin	1e-06	100.0	1.0	1
alpha0_88	alpha0_88	lin	1e-06	100.0	1.0	1
alpha0_89	alpha0_89	lin	1e-06	100.0	1.0	1
alpha0_90	alpha0_90	lin	1e-06	100.0	1.0	1
alpha0_91	alpha0_91	lin	1e-06	100.0	1.0	1
alpha0_92	alpha0_92	lin	1e-06	100.0	1.0	1
alpha0_93	alpha0_93	lin	1e-06	100.0	1.0	1
alpha0_94	alpha0_94	lin	1e-06	100.0	1.0	1
alpha0_95	alpha0_95	lin	1e-06	100.0	1.0	1
alpha0_96	alpha0_96	lin	1e-06	100.0	1.0	1
alpha0_97	alpha0_97	lin	1e-06	100.0	1.0	1
alpha0_98	alpha0_98	lin	1e-06	100.0	1.0	1
alpha0_99	alpha0_99	lin	1e-06	100.0	1.0	1
alpha0_100	alpha0_100	lin	1e-06	100.0	1.0	1
alpha0_101	alpha0_101	lin	1e-06	100.0	1.0	1
alpha0_102	alpha0_102	lin	1e-06	100.0	1.0	1
alpha0_103	alpha0_103	lin	1e-06	100.0	1.0	1
alpha0_104	alpha0_104	lin	1e-06	100.0	1.0	1
alpha0_105	alpha0_105	lin	1e-06	100.0	1.0	1
alpha0_106	alpha0_106	lin	1e-06	100.0	1.0	1
alpha0_107	alpha0_107	lin	1e-06	100.0	1.0	1
alpha0_108	alpha0_108	lin	1e-06	100.0	1.0	1
alpha0_109	alpha0_109	lin	1e-06	100.0	1.0	1
alpha0_110	alpha0_110	lin	1e-06	100.0	1.0	1
alpha0_111	alpha0_111	lin	1e-06	100.0	1.0	1
alpha0_112	alpha0_112	lin	1e-06	100.0	1.0	1
alpha0_113	alpha0_113	lin	1e-06	100.0	1.0	1
alpha0_114	alpha0_114	lin	1e-06	100.0	1.0	1
alpha0_115	alpha0_115	lin	1e-06	100.0	1.0	1
alpha0_116	alpha0_116	lin	1e-06	100.0	1.0	1
alpha0_117	alpha0_117	lin	1e-06	100.0	1.0	1
alpha0_118	alpha0_118	lin	1e-06	100.0	1.0	1
alpha0_119	alpha0_119	lin	1e-06	100.0	1.0	1
alpha0_120	alpha0_120	lin	1e-06	100.0	1.0	1
alpha0_121	alpha0_121	lin	1e-06	100.0	1.0	1
alpha0_122	alpha0_122	lin	1e-06	100.0	1.0	1
alpha0_123	alpha0_123	lin	1e-06	100.0	1.0	1
alpha0_124	alpha0_124	lin	1e-06	100.0	1.0	1
alpha0_125	alpha0_125	lin	1e-06	100.0	1.0	1
alpha0_126	alpha0_126	lin	1e-06	100.0	1.0	1
alpha0_127	alpha0_127	lin	1e-06	100.0	1.0	1
alpha0_128	alpha0_128	lin	1e-06	100.0	1.0	1
alpha0_129	alpha0_129	lin	1e-06	100.0	1.0	1
alpha0_130	alpha0_130	lin	1e-06	100.0	1.0	1
alpha0_131	alpha0_131	lin	1e-06	100.0	1.0	1
alpha0_132	alpha0_132	lin	1e-06	100.0	1.0	1
alpha0_133	alpha0_133	lin	1e-06	100.0	1.0	1
alpha0_134	alpha0_134	lin	1e-06	100.0	1.0	1
alpha0_135	alpha0_135	lin	1e-06	100.0	1.0	1
alpha0_136	alpha0_136	lin	1e-06	100.0	1.0	1
alpha0_137	alpha0_137	lin	1e-06	100.0	1.0	1
alpha0_138	alpha0_138	lin	1e-06	100.0	1.0	1
alpha0_139	alpha0_139	lin	1e-06	100.0	1.0	1
alpha0_140	alpha0_140	lin	1e-06	100.0	1.0	1
alpha0_141	alpha0_141	lin	1e-06	100.0	1.0	1
alpha0_142	alpha0_142	lin	1e-06	100.0	1.0	1
alpha0_143	alpha0_143	lin	1e-06	100.0	1.0	1
alpha0_144	alpha0_144	lin	1e-06	100.0	1.0	1
alpha0_145	alpha0_145	lin	1e-06	100.0	1.0	1
alpha0_146	alpha0_146	lin	1e-06	100.0	1.0	1
alpha0_147	alpha0_147	lin	1e-06	100.0	1.0	1
alpha0_148	alpha0_148	lin	1e-06	100.0	1.0	1
alpha0_149	alpha0_149	lin	1e-06	100.0	1.0	1
alpha0_150	alpha0_150	lin	1e-06	100.0	1.0	1
alpha0_151	alpha0_151	lin	1e-06	100.0	1.0	1
alpha0_152	alpha0_152	lin	1e-06	100.0	1.0	1
alpha0_153	alpha0_153	lin	1e-06	100.0	1.0	1
alpha0_154	alpha0_154	lin	1e-06	100.0	1.0	1
alpha0_155	alpha0_155	lin	1e-06	100.0	1.0	1
alpha0_156	alpha0_156	lin	1e-06	100.0	1.0	1
alpha0_157	alpha0_157	lin	1e-06	100.0	1.0	1
alpha0_158	alpha0_158	lin	1e-06	100.0	1.0	1
alpha0_159	alpha0_159	lin	1e-06	100.0	1.0	1
alpha0_160	alpha0_160	lin	1e-06	100.0	1.0	1
alpha0_161	alpha0_161	lin	1e-06	100.0	1.0	1
alpha0_162	alpha0_162	lin	1e-06	100.0	1.0	1
alpha0_163	alpha0_163	lin	1e-06	100.0	1.0	1
alpha0_164	alpha0_164	lin	1e-06	100.0	1.0	1
alpha0_165	alpha0_165	lin	1e-06	100.0	1.0	1
alpha0_166	alpha0_166	lin	1e-06	100.0	1.0	1
alpha0_167	alpha0_167	lin	1e-06	100.0	1.0	1
alpha0_168	alpha0_168	lin	1e-06	100.0	1.0	1
alpha0_169	alpha0_169	lin	1e-06	100.0	1.0	1
alpha0_170	alpha0_170	lin	1e-06	100.0	1.0	1
alpha0_171	alpha0_171	lin	1e-06	100.0	1.0	1
